Product;Precio Unitario en dolares
Macbook Pro Laptop;1700
LG Washing Machine;600
USB-C Charging Cable;11,95
27in FHD Monitor;149,99
AA Batteries (4-pack);3,84
Bose SoundSport Headphones;99,99
AAA Batteries (4-pack);2,99
ThinkPad Laptop;999,99
Lightning Charging Cable;14,95
Google Phone;600
Wired Headphones;11,99
Apple Airpods Headphones;150
Vareebadd Phone;400
iPhone;700
20in Monitor;109,99
34in Ultrawide Monitor;379,99
Flatscreen TV;300
27in 4K Gaming Monitor;389,99
LG Dryer;600
iPhone;700
Macbook Pro Laptop;1700
Apple Airpods Headphones;150
Flatscreen TV;300
Google Phone;600
Vareebadd Phone;400
